blue,Afterglow,Ed Sheeran,,,,
blue,Gucci Sweater,Dylan Fraser,,,,
blue,Library Book,Billy Raffoul,,,,
blue,Only Child,Sasha Sloan,,,,
blue,Hypnotised,Coldplay,,,,
blue,Sign of the Times,Harry Styles,,,,
blue,Shallow,"Lady Gaga, Bradley Cooper",,,,
blue,It's You,Ali Gatie,,,,
blue,Lose You To Love Me,Selena Gomez,,,,
blue,Purpose,Justin Bieber,,,,
blue,Emmylou,Vance Joy,,,,
blue,Photograph,Ed Sheeran,,,,
blue,Another Love,Tom Odell,,,,
blue,I'm Not The Only One,Sam Smith,,,,
blue,How Long Will I Love You,Ellie Goulding,,,,
blue,Million Reasons,Lady Gaga,,,,
blue,Wings,Birdy,,,,
blue,Someone You Loved,Lewis Capaldi,,,,
blue,Be Alright,Dean Lewis,,,,
blue,Make A Memory,BLVN (BELIEVE IN),,,,
blue,Let Her Go,Passenger,,,,
blue,I Was Here,Beyonce,,,,
blue,"Lover, Please Stay",Nothing But Thieves,,,,
blue,The Scientist,Coldplay,,,,
blue,Far Away,선우정아,,,,
blue,Happier,Ed Sheeran,,,,
blue,Roman Holiday,Halsey,,,,
blue,How To Love Me,Grace,,,,
blue,Without You,Oh Wonder,,,,
blue,On Your Own (Remastered 2016),The Verve,,,,
blue,No Words,The Script,,,,
blue,Lean (From 'The Hunger Games: Catching Fire' Soundtrack),The National,,,,
blue,Winterbreak,Muna,,,,
blue,Holocene,Bon Iver,,,,
blue,No Angel,Birdy,,,,
blue,Whatever It Takes,Lifehouse,,,,
blue,What Are You Waiting For?,Nickelback,,,,
,Let It Ring,Reiley,exciting,,,
,Just Friends,Audrey Mika,exciting,,,
,Pictures Of You,PREP,exciting,,,
,Hold Me Close (feat. Ella Henderson),Sam Feldt,exciting,,,
,Chase For Your Love,Askling,exciting,,,
,Juice,Lizzo,exciting,,,
,Dynamite,방탄소년단,exciting,,,
,Birthday,Anne-Marie,exciting,,,
,I Don't,"Johnny Orlando, DVBBS",exciting,,,
,Bet You Wanna (Feat. Cardi B),BLACKPINK,exciting,,,
,"fuck, i'm lonely (feat. Anne-Marie)",Lauv,exciting,,,
,No Excuses,Meghan Trainor,exciting,,,
,"The Other Side (영화 ""트롤: 월드 투어"" OST)","SZA, Justin Timberlake",exciting,,,
,Freckles,CURTIS WATERS,exciting,,,
,Kiss Somebody (with Seeb),Julie Bergan,exciting,,,
,Mood (Feat. Iann Dior),24KGoldn,exciting,,,
,Young & Reckless,"Jason Thurell, Kryga",exciting,,,
,This Is How U Feel,Loote,exciting,,,
,Don't Feel Like Crying,Sigrid,exciting,,,
,San Francisco (feat. Sofia Carson),Galantis,exciting,,,
,Air Balloon,Lily Allen,exciting,,,
,Messy (R3HAB Remix),Kiiara,exciting,,,
,Who Do You Love,"The Chainsmokers, 5 Seconds of Summer",exciting,,,
,Paycheck,"ROOKIES, New Hope Club",exciting,,,
,PAY ME BACK!,ILIRA,exciting,,,
,Younger,"Jonas Blue, HRVY",exciting,,,
,Good In Bed,Dua Lipa,exciting,,,
,Summer Feelings (feat. Charlie Puth),Lennon Stella,exciting,,,
,Mad at Disney,salem ilese,exciting,,,
,positions,Ariana Grande,exciting,,,
,Sweater,Spencer Sutherland,exciting,,,
,Superstar,Majid Jordan,exciting,,,
,Going up the Coast,Clay And Friends,exciting,,,
,Watermelon Sugar,Harry Styles,exciting,,,
,Sucker,Jonas Brothers,exciting,,,
,Gimme Gimme,Johnny Stimson,exciting,,,
,Fake,"Lauv, Conan Gray",exciting,,,
,Everything's Good,Phil Good,exciting,,,
,monday,somegirlnamedanna,exciting,,,
,Marilyn Monroe,Astrid S,exciting,,,
,Wish Now Was Later,Eli,exciting,,,
,Passcode,Jannine Weigel,exciting,,,
,Poster Girl,Zara Larsson,exciting,,,
,Dirty Water,Marc E. Bassy,exciting,,,
,Levitating (feat. DaBaby),Dua Lipa,exciting,,,
,19 (Feat. nobody likes you pat),뎁트,exciting,,,
,빛나는 당신을 위해,"적재, 권진아",,healing,,
,Butterfly,러브홀릭스,,healing,,
,시작,가호 (Gaho),,healing,,
,난 나니까,조유진 (체리필터),,healing,,
,작전명 청-춘!,잔나비,,healing,,
,75점,커피소년,,healing,,
,그럴때마다,"윤종신, 이장우, 조규찬, 김연우, 조삼희, 김창원, 유희열",,healing,,
,직진,더 베인,,healing,,
,VIVA청춘,딕펑스 (DICKPUNKS),,healing,,
,행운을 빌어요,페퍼톤스 (Peppertones),,healing,,
,우울한 날들에 최선을 다해줘,안녕하신가영,,healing,,
,힘내! (DON'T GIVE UP),TWICE (트와이스),,healing,,
,안녕,박혜경,,healing,,
,무기력라이프,어쿠스윗,,healing,,
,젊은 날의 Sky,윤미래,,healing,,
,I Go,럼블피쉬,,healing,,
,인생은 아름다워 (With 다이나믹듀오 & Zion. T & Crush),토이,,healing,,
,범퍼카 (New Day Ver.),데이브레이크 (DAYBREAK),,healing,,
,슈퍼스타,이한철,,healing,,
,잘 살고 있지롱,윤딴딴,,healing,,
,우린 긴 여행을 하는 거야,고고보이스,,healing,,
,소년이여,G-DRAGON,,healing,,
,Alright!,선겸 (SunKyum),,healing,,
,오늘에 부르는,입술을깨물다,,healing,,
,좌절금지,뜨거운 감자,,healing,,
,Donkey (좋아하는 일을 해),웨일,,healing,,
,촛불하나,god,,healing,,
,산다는건 다 그런게 아니겠니,여행스케치,,healing,,
,하하하쏭,자우림,,healing,,
,인턴,옥상달빛,,healing,,
,청춘위로 (Feat. 오왠),티어라이너,,healing,,
,Gift,박효신,,healing,,
,말하는 대로,"윤성기, 조재일",,healing,,
,고강동,박소은,,healing,,
,슈퍼히어로 (Feat. 슈퍼키드),이승환,,healing,,
,달리기,S.E.S.,,healing,,
,인공잔디,AKMU (악동뮤지션),,healing,,
,Break (Song By 윤산하 Of 아스트로),윤산하 (ASTRO),,healing,,
,A Flying Butterfly,YB,,healing,,
,출발,김동률,,healing,,
,청춘 (For 영화 족구왕),페퍼톤스 (Peppertones),,healing,,
,Fly Away,라디 (Ra. D),,healing,,
,가장 따뜻한 위로,소란 (SORAN),,healing,,
,날아,이승열,,healing,,
,청춘열차,브로콜리너마저,,healing,,
,하루만큼 강해진 너에게,디어클라우드,,healing,,
,마음톡톡,만쥬한봉지,,healing,,
,힘 내! (Way To Go),소녀시대 (GIRLS' GENERATION),,healing,,
,일기,몽니,,healing,,
,괜찮아,Verandah Project,,healing,,
,Fall So Hard,Christopher,,,spring,
,Slow Down,Why Don't We,,,spring,
,Your Life Your Time,Christian Leave,,,spring,
,Long Way Home,Brynn Cartelli,,,spring,
,Telling Myself,Joshua Bassett,,,spring,
,John Hughes Movie,Maisie Peters,,,spring,
,Eye To Eye,Sia,,,spring,
,Once In A Lifetime,All Time Low,,,spring,
,Time I Love To Waste,MAY-A,,,spring,
,Black Hole,Griff,,,spring,
,Used To Be (feat. Wiz Khalifa),"Steve Aoki, Kiiara",,,spring,
,Too Late (feat. Wiz Khalifa & Lukas Graham),Cash Cash,,,spring,
,SUPERBLOOM,MisterWives,,,spring,
,Naked,Ava Max,,,spring,
,Patience (feat. YUNGBLUD & Polo G),KSI,,,spring,
,Weekend Vibe,Jubel,,,spring,
,But Cha (feat. Josh Golden),KYLE,,,spring,
,Ghost Town,EBEN,,,spring,
,Dandelion,"Galantis, JVKE",,,spring,
,Too Many Friends,Spencer Sutherland,,,spring,
,Levitating (feat. DaBaby),Dua Lipa,,,spring,
,"Baby, I'm Jealous (feat. Doja Cat)",Bebe Rexha,,,spring,
,Take You Dancing,Jason Derulo,,,spring,
,BED,"Joel Corry, Raye, David Guetta",,,spring,
,No Sleep,Crooked Colours,,,spring,
,Damn Bean,John-Robert,,,spring,
,Bedache,Christian Leave,,,spring,
,Deadline,Grouplove,,,spring,
,Quarterback,Wallows,,,spring,
,Can't Feel A Thing,Justice Carradine,,,spring,
,Doodoodoo,CURTIS WATERS,,,spring,
,Dance Floor Darling,Kylie Minogue,,,spring,
,Murphy's Law,Roisin Murphy,,,spring,
,Good As Hell (feat. Ariana Grande) [Remix],Lizzo,,,spring,
,Somebody Sometimes,"Fitz, Fitz and The Tantrums",,,spring,
,Sinatra,Forrest Nolan,,,,zanzan
,Someone New,Laufey,,,,zanzan
,House of Glass,Jon Caryl,,,,zanzan
,Dear Moon,moon tang,,,,zanzan
,Paul,Cavetown,,,,zanzan
,Susie May,beabadoobee,,,,zanzan
,All Because of You (Acoustic Version),Stephen Day,,,,zanzan
,Same Boat,Lizzy McAlpine,,,,zanzan
,Paris,New West,,,,zanzan
,"Zanesville, Ohio",Andy Leon,,,,zanzan
,Last Time,Adam Melchor,,,,zanzan
,"With Love, Eugene",Sofia Mills,,,,zanzan
,Two Weeks,Juul,,,,zanzan
,Optimistic,Cehryl,,,,zanzan
,you.,Oscar Lang,,,,zanzan
,can i sleep in ur bed,Elliot Lee,,,,zanzan
,As the World Caves In (Acoustic),Matt Maltese,,,,zanzan
,i leave early,Maria Kelly,,,,zanzan
,Toothpaste Kisses,The Maccabees,,,,zanzan
,Funny How I Knew,Tobacco Stan,,,,zanzan
,I got you,ellene,,,,zanzan
,Second to None,Colin Caulfield,,,,zanzan
,Cotton Candy,spill tab,,,,zanzan
,The Girl Who Fell in Love with the Sun,dozen districts,,,,zanzan
,Luv Note,chloe moriondo,,,,zanzan
,Comedown,Joesef,,,,zanzan
,Fly Me to the Moon,Olivia O,,,,zanzan
,Forgot My Mantra,The Saxophones,,,,zanzan
,Lonely,"George Moir, Blossom Caldarone",,,,zanzan
,Tap Twice,Katy Kirby,,,,zanzan
,I Just Want You to Feel at Home,The Smallest One,,,,zanzan
,reflet,Oscar Anton,,,,zanzan
,Moon Song (lo fi lounge),Arlo Parks,,,,zanzan
,Lovers Do,The Brummies,,,,zanzan
,You Wrote 'Don't Forget' On Your Arm,Flatsound,,,,zanzan
,"From Me, the Moon",LAV,,,,zanzan
,Words,Gregory Alan Isakov,,,,zanzan
